article_id,cluster
501616010,127
736198029,126
500096004,619
699071004,58
799170002,1559
679709048,540
854790001,1708
694237001,54
549961021,1799
913954001,1555
413707014,184
599020006,1381
818785001,252
688078007,1663
570004065,1746
565200019,423
702944004,579
484108006,1766
866585002,656
695051001,1486
873274002,1212
726115003,1616
732409030,1559
639242002,424
679526007,377
860813001,1265
655843002,356
719957004,674
734105001,238
558514004,1983
816736001,1745
933411001,39
665769001,1888
814967006,925
637422001,1156
547980001,398
610697002,607
679853011,708
325027011,158
643169001,450
764820001,649
692972001,11
569476001,1428
470985009,1478
866407001,1947
579148002,316
822126003,1948
555990003,1699
523936049,330
796576001,1956
806166005,1842
726886001,1774
633136006,316
797710001,1525
887467002,1181
421387041,1649
640961001,92
719579002,208
830667001,851
825196001,500
803614002,947
712054001,965
649622002,1714
784237003,1047
703368001,1959
590869001,1158
769748016,164
479227017,1619
620299003,479
525335008,889
685813030,1790
671049001,243
740415005,1888
802016001,1860
847811002,1675
784913001,1171
580674009,1414
802747001,1509
814512004,1484
604764001,351
553873002,807
698317010,1298
737616004,1553
894956008,1111
547987008,1234
679854018,596
867205002,124
570474013,615
653762001,1747
856818001,1238
891669003,419
696980006,1402
714824002,931
906581003,1764
682289009,990
639177001,1439
429313016,1390
887181002,147
647426002,1321
525563015,1989
770851001,369
889663002,1050
657118001,694
743822002,803
909814002,1819
754751006,101
852933001,173
606499003,747
824616001,898
620208068,206
895980001,799
767862004,296
861600003,607
496111020,708
654910001,434
649495002,678
603916001,522
893416002,388
840663002,674
730299001,102
813420005,1999
906976002,1264
820508002,1785
708321001,384
782760022,1590
625532003,11
429313002,451
589830003,90
619229004,1044
757613003,502
784466003,1729
772435005,97
568041001,318
736114007,1025
723409003,166
496111034,1809
926433002,672
839824002,928
779909007,551
509017005,980
570003078,47
780172004,1481
768900004,138
758397003,882
731419001,63
818707002,1956
616598013,1750
696959001,1064
732582003,1697
769748002,164
751216002,1872
685813024,506
577179001,847
673990001,253
643588008,1731
416175013,1393
803696001,1498
889456001,1131
888161001,866
515136004,1929
735532001,593
623666002,1668
698317004,1298
693387003,115
566621002,1925
599580047,407
887949004,90
506411006,84
695151001,966
735607002,1966
779612002,1676
706674001,1431
816503002,988
909914002,524
716672018,1310
639077001,944
647526002,1685
873041001,1636
677930026,702
836706003,1000
470111002,775
694002002,676
695535002,1052
471714008,1389
697329009,419
852833001,153
719579016,280
685601011,958
721390002,1510
734461002,193
667411009,1087
623380002,1548
503338005,1337
501616004,717
755759001,174
847100003,1342
712261002,621
589314001,629
855110001,365
519749038,45
807241059,1087
823964001,391
652355001,166
681120001,183
484108012,1766
669952001,657
703539001,1676
671618001,772
719957010,674
927560001,1414
711529003,1241
816481001,1795
721543001,673
558514010,1983
711649001,1936
883026004,354
652035003,405
870707005,1650
714486002,1510
443860040,977
624050002,321
652307009,856
774039008,1911
810537001,1265
571529001,1910
663568001,202
624701002,567
471714020,1389
241602028,29
680391017,1759
805597001,709
819265003,1133
685814005,1835
693501001,987
791493002,1512
771328005,697
900659004,88
673707002,1464
707772003,1891
612182005,1599
869154003,128
362931028,1618
858409001,1534
734841001,246
700093001,227
519749010,1324
571982019,1566
811993003,950
626610004,1419
466599001,1990
390469005,1489
762846036,1821
785086001,868
687114002,1615
655656002,730
690936006,1136
826609002,762
826949003,190
737049001,1785
723872004,1356
685848008,1760
909534001,114
575353001,525
