article_id,cluster
108775015,1126
108775044,1126
108775051,1126
110065001,616
110065002,696
110065011,147
111565001,152
111565003,1266
111586001,1131
111593001,152
111609001,152
112679048,122
112679052,1377
114428026,775
114428030,937
116379047,78
118458003,1725
118458004,1725
118458028,1725
118458029,1725
118458034,1725
118458038,1725
118458039,1725
120129001,1248
120129014,1248
120129018,1751
120129025,1298
123173001,1131
126589006,1488
126589007,1493
126589010,613
126589011,550
126589012,550
129085001,570
129085026,681
129085027,560
130035001,1423
141661022,997
141661025,1153
144993001,152
145872001,1234
145872037,1901
145872043,1234
145872051,1234
145872052,1054
145872053,1901
146706001,1160
146706004,1160
146706005,600
146721001,550
146721002,550
146730001,1131
147339034,1160
148033001,1131
148033006,1266
150959011,1149
150959013,1901
153115019,616
153115020,1729
153115021,696
153115039,955
153115040,448
153115043,448
156224001,870
156224002,1131
156227001,152
156227002,1266
156231001,152
156231002,1266
156289011,1000
156610001,1149
156610007,1149
156610010,1234
158340001,1131
160442007,1622
160442010,502
160442042,671
160442043,671
162074062,1141
162074069,1141
162074071,1141
163734002,619
163734054,378
164912035,1622
164912039,1089
174057022,1153
174057026,1153
174057027,1584
174057028,1153
174057029,997
174057030,1153
174057032,1584
174057033,1153
174057035,1153
174057036,504
174057037,1584
174057038,1153
174057039,1584
174057040,1153
176209023,1704
176209025,1802
176209033,1705
176209035,1705
176209039,1802
176209040,61
176209044,1705
176209046,336
176550016,615
176550017,1330
176550018,615
176550020,615
176550021,615
176754001,32
176754003,363
176754019,613
179123001,1352
179123040,1130
179208001,1131
179208008,1131
179393001,1622
179393018,671
179950001,341
179950002,392
179950017,341
181160009,1039
181448022,12
181448102,1141
181448103,1141
181448104,1141
181448105,12
181448106,1141
181448109,1141
182909001,1131
183815013,596
184121021,1316
184123020,430
184583014,721
186262001,1950
186262006,1493
186262007,613
186262013,258
186264014,1488
186264015,1493
186264016,1493
186266004,793
186267001,1950
186372011,371
186372042,78
186372045,78
186595001,12
187949016,997
187949019,1584
187949020,1153
187949025,1153
187949026,1153
187949028,1584
187949029,997
187949030,1584
187949031,1153
187949032,1153
188183001,1196
188183008,1778
188183009,1300
188183010,1778
188183012,1505
188183014,1778
188183015,1959
188183016,352
188183018,352
188183020,1778
188183021,1741
188183022,1625
188183023,839
189383001,1160
189383014,323
189616001,1352
189616006,1352
189616007,1352
189616008,1352
189616009,78
189616014,1352
189616015,1352
189616016,1352
189616028,1352
189616032,1352
189616038,1130
189626001,69
189634001,1352
189634031,1352
189654001,69
189654045,1121
189654046,647
189654047,1946
189691033,1708
189691044,1121
189691051,1946
189691063,1931
189691067,821
189691075,1946
189955076,1899
190021001,502
190021003,1622
190021021,870
190252020,284
192460006,731
192960023,869
194037001,1131
194037002,1131
194242047,1328
194242048,992
194242049,1328
194242050,1607
194270002,619
194270044,1293
194270045,1193
194270046,108
194902033,984
198518010,460
198518017,713
198518020,824
198518023,1443
198518031,824
198714001,1248
198714006,99
199119038,1970
200182001,152
200182002,152
200761022,878
200761028,878
200761029,984
201219001,152
201219003,152
201219011,152
201219012,152
201219013,1266
201219014,152
201219016,152
201219017,152
202017055,248
203027045,1489
203027047,1489
203027048,1904
203595034,836
203595036,675
203595040,675
203595048,675
203595058,1999
204892024,869
204892029,869
204892032,869
205225001,754
211143021,484
211143022,183
211143023,484
211143036,1666
211143037,183
211143040,1221
212042036,1491
212042043,8
212042066,1601
212042070,1601
212629004,607
212629031,959
212629032,959
212629033,248
212629035,1727
212629036,1502
212629040,959
212629043,1727
212629047,1502
212629048,959
212629049,760
212629050,684
212629051,248
212766041,630
212766042,362
212766043,1203
212766045,1032
212766046,1965
213690001,1399
213691001,1399
213691073,561
213691075,1809
213691080,737
213691083,1255
214844001,1950
214844002,1493
214844003,550
214844004,613
214844008,613
215248002,570
215303001,857
215303002,1559
215303005,1559
215324023,625
215337001,1489
215337003,956
215337038,956
215337039,1946
215337059,1132
215337066,1489
215337067,1762
215589001,152
215589002,152
216081011,731
216961011,1540
217207045,1153
217207046,1584
217207047,997
217207048,1153
217207055,504
217727002,870
217727003,1622
217727018,870
218354001,1126
218354020,1042
218354021,14
218354045,835
218354047,14
218829002,1627
218829014,1627
218829015,1329
219075014,1032
219075017,1822
219075021,201
219075023,1822
219075028,362
220094001,440
220094010,390
220094011,1355
220094015,835
220094016,248
220094018,684
220094019,1355
220094020,1355
220094021,760
220365001,1482
220365002,734
220365004,1831
220365007,734
224314007,339
224314011,366
224314013,623
224314016,623
224314017,877
224314018,1481
224337001,1627
224337008,1501
224521001,1149
224521007,1149
224606019,341
224606022,749
224606025,817
224606031,749
225286014,1149
225784001,619
225784023,18
225784037,1740
225784039,674
225784040,1607
225784043,108
