,hit_num,map,precision,purchased,recall,recall_num
"Image
(Euclidean)",0.012294631585249384,0.001562323123067328,0.0010245526321041153,4.043513622285798,0.004312877218452517,12.0
"Text
(Euclidean)",0.030804976276684246,0.004376825971365085,0.0025670813563903536,4.043513622285798,0.010821780765033547,12.0
"Popularity
(All)",0.03531951039057973,0.003543146534335525,0.00294329253254831,4.043513622285798,0.01056524722684099,12.0
"Popularity
(Product)",0.10456862911361718,0.015863879380945346,0.010899535964506015,4.043513622285798,0.040127701370399435,10.753245543468108
"Popularity
(Region)",0.09636498487143083,0.016327923138596108,0.015116234479272201,4.043513622285798,0.0365177159859878,8.10215183429678
"Popularity
(Age)",0.03538745122428565,0.0035485648519612265,0.002948954268690471,4.043513622285798,0.010594566374488499,11.999979676779502
"Popularity
(Buy Together)",0.0168907403456923,0.001293162260101849,0.001407561695474358,4.043513622285798,0.005151024352724406,12.0
"Collaborative
Filtering",0.04261701232596741,0.004838052397937414,0.0035514176938306174,4.043513622285798,0.013284285421584907,12.0
"Item2Vec
(Cluster Popular)",0.08298175771293483,0.0113964972870381,0.0069151464760779015,4.043513622285798,0.028151271001441075,12.0
"Item2Vec
(User-Item Similarity)",0.03820666348294213,0.007432534838245807,0.00318388862357851,4.043513622285798,0.014510070414646793,12.0
Aggregation (1),0.10710204565234094,0.018570278493205684,0.00892517047102841,4.043513622285798,0.03912703201469804,12.0
Aggregation (2),0.11515253257353789,0.01920562037946933,0.009596044381128157,4.043513622285798,0.04267223213630711,12.0
Aggregation (3),0.09808990120842451,0.014759823271070845,0.008174158434035374,4.043513622285798,0.035096059347522315,12.0
