,hit_num,map,precision,purchased,recall,recall_num
"Image
(Euclidean)",0.0022372287791252335,0.00022021611606902724,0.00018643573159376955,0.37194805536987685,0.0006383285821003821,0.0
"Text
(Euclidean)",0.0025038428937802196,4.99151052334231e-05,0.00020865357448168452,0.37194805536987685,0.00021285696016142816,0.0
"Popularity
(All)",0.0010627713339759067,0.0010060187513261081,8.856427783132566e-05,0.37194805536987685,0.002084085488225039,0.0
"Popularity
(Product)",0.009259736698050379,0.0003575539248738484,0.0006987655555087161,0.37194805536987685,0.0006054142150610412,0.22124058864611978
"Popularity
(Region)",0.014232220787365033,0.000933375371478329,0.0014517084344063014,0.37194805536987685,0.0027256069432781047,0.44047510961326264
"Popularity
(Age)",0.0009972582317656726,0.0010027410462443258,8.3104852647139e-05,0.37194805536987685,0.0020791840617476252,4.064644099729028e-05
"Popularity
(Buy Together)",0.002112331816374809,6.419913425339966e-05,0.00017602765136456766,0.37194805536987685,0.0004167390478252277,0.0
"Collaborative
Filtering",0.004738551031377789,0.0004802828460126114,0.00039487925261481573,0.37194805536987685,0.0010369298757241742,0.0
"Item2Vec
(Cluster Popular)",0.014658873700788395,0.0014522188113342315,0.0012215728083990337,0.37194805536987685,0.0029619273912352235,0.0
"Item2Vec
(User-Item Similarity)",0.012823256964708634,0.0017540113777555603,0.0010686047470590523,0.37194805536987685,0.003931580767836332,0.0
Aggregation (1),0.014055755196840498,0.0008300004003315822,0.0011713129330700402,0.37194805536987685,0.0023994461468083267,0.0
Aggregation (2),0.013864128222769669,0.000868109648021732,0.00115534401856414,0.37194805536987685,0.0021347482001826366,0.0
Aggregation (3),0.013053664300946899,0.001080255796389911,0.001087805358412243,0.37194805536987685,0.0025265133168579593,0.0
