,hit_num,map,precision,purchased,recall,recall_num
"Image
(Euclidean)",0.012339643732356239,0.0017505952214328922,0.00102830364436302,3.4099376400105954,0.0050221492411000905,12.0
"Text
(Euclidean)",0.026100929876547222,0.0048964312876716215,0.0021750774897122682,3.4099376400105954,0.011120408982965426,12.0
"Popularity
(All)",0.03492015879953437,0.003967246297494929,0.0029100132332945303,3.4099376400105954,0.011774173942244733,12.0
"Popularity
(Product)",0.100618612291996,0.019292124347829755,0.01190892652204558,3.4099376400105954,0.04487312821724716,9.987506333462777
"Popularity
(Region)",0.07099554951820376,0.018058008619752562,0.0170178803959459,3.4099376400105954,0.03294433012098999,5.901351926163645
"Popularity
(Age)",0.0350006668556306,0.003973699546963376,0.0029167222379692164,3.4099376400105954,0.011815969463488783,11.999967598952798
"Popularity
(Buy Together)",0.015143616955312304,0.001309554034065725,0.0012619680796093584,3.4099376400105954,0.005357412006351821,12.0
"Collaborative
Filtering",0.03956072198894864,0.005231510207256547,0.0032967268324123862,3.4099376400105954,0.014271767314239353,12.0
"Item2Vec
(Cluster Popular)",0.09891634366759638,0.022120847349644278,0.008243028638966364,3.4099376400105954,0.0420842705397056,12.0
"Item2Vec
(User-Item Similarity)",0.09180937797081173,0.020644224138135405,0.007650781497567644,3.4099376400105954,0.041159085470376305,12.0
Aggregation (1),0.09728433646875302,0.0217952349049229,0.008107028039062752,3.4099376400105954,0.04315077131962298,12.0
Aggregation (2),0.11296566474060377,0.02357296616150392,0.009413805395050313,3.4099376400105954,0.050219623786310875,12.0
Aggregation (3),0.1064903898457292,0.019590300237835916,0.008874199153810765,3.4099376400105954,0.04567707485374964,12.0
