,hit_num,map,precision,purchased,recall,recall_num
"Image
(Euclidean)",0.013760187978906623,0.0010939454284867082,0.0011466823315755517,6.967966527982238,0.002393868574060264,12.0
"Text
(Euclidean)",0.04680595714885024,0.0030034580150260707,0.003900496429070853,6.967966527982238,0.009284442451829567,12.0
"Popularity
(All)",0.03552948051114905,0.0020492719350073377,0.0029607900425957542,6.967966527982238,0.006067349581084719,12.0
"Popularity
(Product)",0.11295681202789604,0.007444211695396594,0.009423333182565398,6.967966527982238,0.022657969054575462,11.996940526448585
"Popularity
(Region)",0.1464439748917764,0.010025488659865031,0.012308315036944892,6.967966527982238,0.03147457172525128,11.989014549669077
"Popularity
(Age)",0.03562990147519031,0.00204930892820759,0.002969158456265859,6.967966527982238,0.006073989947862543,12.0
"Popularity
(Buy Together)",0.026668114256474983,0.0012678729879127444,0.002222342854706248,6.967966527982238,0.004403661224767218,12.0
"Collaborative
Filtering",0.05232078375612624,0.003404293555229627,0.004360065313010519,6.967966527982238,0.00984884386108787,12.0
"Item2Vec
(Cluster Popular)",0.11787335166286297,0.008828953485907582,0.009822779305238581,6.967966527982238,0.023548790566288155,12.0
"Item2Vec
(User-Item Similarity)",0.03236922872024556,0.001877012305177996,0.002697435726687129,6.967966527982238,0.005769720509120463,12.0
Aggregation (1),0.18364270543912498,0.014639824194316215,0.015303558786593747,6.967966527982238,0.04023942396355277,12.0
Aggregation (2),0.1768181101753712,0.01352827700561346,0.014734842514614266,6.967966527982238,0.03785669894505678,12.0
Aggregation (3),0.13245522712448077,0.00968050819920684,0.011037935593706732,6.967966527982238,0.02684479263714061,12.0
