,hit_num,map,precision,purchased,recall,recall_num
"Image
(Euclidean)",0.011982527022348347,0.0013189266697317698,0.0009985439185290288,4.563615601770687,0.0033919306052276306,12.0
"Text
(Euclidean)",0.036128579396979624,0.0036933703123829373,0.003010714949748302,4.563615601770687,0.010621968366244152,12.0
"Popularity
(All)",0.03572296142789393,0.003027165470476925,0.002976913452324494,4.563615601770687,0.009126320740088338,12.0
"Popularity
(Product)",0.1107062544895598,0.01118897949168094,0.009265697826423197,4.563615601770687,0.035218421835010345,11.989876443416655
"Popularity
(Region)",0.13454824780354982,0.014521043188189614,0.012061019128585634,4.563615601770687,0.045189082869291894,11.538042452834436
"Popularity
(Age)",0.03574906054353322,0.003031246853640153,0.002979088378627768,4.563615601770687,0.009132427521390783,12.0
"Popularity
(Buy Together)",0.01805982663575243,0.0012862821390565546,0.001504985552979369,4.563615601770687,0.004957480547250946,12.0
"Collaborative
Filtering",0.04636679954542122,0.004428387795025159,0.003863899962118435,4.563615601770687,0.012206848795350209,12.0
"Item2Vec
(Cluster Popular)",0.1398254736548978,0.017763054993397254,0.011652122804574816,4.563615601770687,0.04278423849064451,12.0
"Item2Vec
(User-Item Similarity)",0.12944129357634296,0.014686407120192216,0.010786774464695247,4.563615601770687,0.042433100712803484,12.0
Aggregation (1),0.14958356018820182,0.018133423260542455,0.012465296682350151,4.563615601770687,0.04841749972350935,12.0
Aggregation (2),0.15987134354247437,0.01853818820667249,0.013322611961872864,4.563615601770687,0.052211354542684475,12.0
Aggregation (3),0.13688440324547904,0.015185854063893653,0.011407033603789918,4.563615601770687,0.043210552601437136,12.0
