,hit_num,map,precision,purchased,recall,recall_num
"Image
(Euclidean)",0.0024545822632829834,0.00019733737214854615,0.00020454852194024857,0.4594146866559224,0.0006525697273498146,0.0
"Text
(Euclidean)",0.003965015045720197,0.00023385124940724324,0.00033041792047668316,0.4594146866559224,0.0004039896963288835,0.0
"Popularity
(All)",0.0011322729794916544,0.0007110166624946627,9.435608162430454e-05,0.4594146866559224,0.0014795607261322463,0.0
"Popularity
(Product)",0.010491188693763481,0.0003377787842394096,0.0008557516038641243,0.4594146866559224,0.0007747294021989474,0.004197578320926713
"Popularity
(Region)",0.01789929146007347,0.0009292752472874592,0.001515235221835363,0.4594146866559224,0.00257601947223937,0.06944477877111171
"Popularity
(Age)",0.0011386259492579937,0.0007135520512686329,9.488549577149939e-05,0.4594146866559224,0.0014824618006549892,0.0
"Popularity
(Buy Together)",0.0025423501618842144,0.00016998454935531154,0.00021186251349035112,0.4594146866559224,0.0005556668349490695,0.0
"Collaborative
Filtering",0.00582666687951817,0.0006753643672879439,0.00048555557329318087,0.4594146866559224,0.0016020348176477787,0.0
"Item2Vec
(Cluster Popular)",0.015377837148452735,0.0007453114123963041,0.001281486429037727,0.4594146866559224,0.0017480780409036998,0.0
"Item2Vec
(User-Item Similarity)",0.024217913230785763,0.0018015538292731337,0.0020181594358988125,0.4594146866559224,0.005301213546532557,0.0
Aggregation (1),0.018183248776082166,0.0008048970425447862,0.0015152707313401802,0.4594146866559224,0.0021223347286200996,0.0
Aggregation (2),0.020461920704257106,0.0010026878500831408,0.0017051600586880922,0.4594146866559224,0.002810732462489456,0.0
Aggregation (3),0.013515722979691459,0.00040937441974236,0.0011263102483076212,0.4594146866559224,0.0014556857897774823,0.0
